CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE
Federation Gallery,http://artists.ca/federation_gallery,Museum/Gallery,Museum/Gallery,"1241 Cartwright St, Vancouver, BC, V6H 4B7",Fairview,Privately Owned,1200,,Yes
Fei & Milton Wong Experimental Theatre,http://www.gvpta.ca/vancouver-theatre-guide/venue/fei-and-milton-wong-experimental-theatre-goldcorp-centre-for-the-arts/,Theatre/Performance,Theatre,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,440,Yes
FIELD Contemporary,www.field-contemporary.com,Museum/Gallery,Museum/Gallery,"17 W Broadway, Vancouver, BC, V5Y 1P1",Mount Pleasant,Privately Owned,800,,Yes
Firehall Arts Centre,www.firehallartscentre.ca?,Theatre/Performance,Theatre,"280 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,12386,136,Yes
Forge and Form,www.forgeandform.com,Studio/Rehearsal ,Artist Studio,"1334 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,,,Yes
Fortune Sound Club,http://www.fortunesoundclub.com/,Theatre/Performance,Performance Space,"147 E Pender St, Vancouver, BC, V6A 1T5",Downtown,Privately Owned,,,Yes
Fox Cabaret,http://www.foxcabaret.com/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"2321 Main St, Vancouver, BC, V5T 3C9",Mount Pleasant,Privately Owned,,,Yes
Frederic Wood Theatre,http://www.theatre.ubc.ca/facilities_images.shtml,Theatre/Performance,Theatre,"6354 Crescent Rd, Vancouver, BC, V6T 1Z2",UBC,Government,,400,Yes
Gallery 295,http://gallery295.com/295/,Museum/Gallery,Museum/Gallery,"295 E 2nd Ave, Vancouver, BC, V5T 1B8",Strathcona,Privately Owned,,,Yes
Gallery Gachet,www.gachet.org?,Museum/Gallery,Museum/Gallery,"88 E Cordova St, Vancouver, BC, V6A 1K2",Downtown,Privately Owned,2600,,Yes
Gallery Jones,www.galleryjones.com?,Museum/Gallery,Museum/Gallery,"1725 W 3rd Av, Vancouver, BC, V6J 1K7",Fairview,Privately Owned,,,Yes
Gallery of BC Ceramics,http://www.bcpotters.com/Gallery/index.php,Museum/Gallery,Museum/Gallery,"1359 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Non-Profit,,,Yes
Gam Gallery,http://gamgallery.com/contact/,Museum/Gallery,Museum/Gallery,"110 E Hastings St, Vancouver, BC, V6N 1N4",Downtown,Privately Owned,2000,,Yes
GMS Observatory,http://www.spacecentre.ca/gms,Museum/Gallery,Garden/Aquarium/Science Centre,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,2811,,Yes
Goh Ballet Academy,www.gohballet.com,Educational,Educational Institution,"2345 Main St, Vancouver, BC, V5T 3C9",Mount Pleasant,Privately Owned,12000,,Yes
Goldcorp Centre for the Arts - SFU,http://www.sfu.ca/sfuwoodwards/goldcorp-centre-for-the-arts.html,Educational,Educational Institution,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,125000,,Yes
Gordon Neighbourhood house,http://gordonhouse.org/,Community Space,Community Centre/Hall,"1019 Broughton St, Vancouver, BC, V6G 2A7",West End,Non-Profit,,,Yes
Granville Fine Arts,www.granvillefineart.com?,Museum/Gallery,Museum/Gallery,"2447 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,,,Yes
Granville Island,,Community Space,Plaza/Park/Band Shell,"Granville Island, Vancouver, BC",Fairview,Government,,,Yes
Granville Island Gallery,www.granvilleislandgallery.com?,Museum/Gallery,Museum/Gallery,"1494 Old Bridge St, Vancouver, BC, V6H 3S6 ",Fairview,Government,,,Yes
Granville Street/ Entertainment District,,Community Space,Plaza/Park/Band Shell,"Vancouver, BC",Downtown,City of Vancouver,,,Yes
Great Northern Way Scene Shop,www.gnwshop.ca?,Studio/Rehearsal ,Workshop,"281 Industrial, Vancouver, BC, V5A 2P2",Strathcona,City of Vancouver,,,Yes
Green Thumb Theatre for Young People - Studio 1,www.greenthumb.bc.ca,Studio/Rehearsal ,Rehearsal Studio,"5560 Mckinnon St, Vancouver, BC, V5R 0B6",Renfrew-Collingwood,Privately Owned,2030,,Yes
Green Thumb Theatre For Young People - Studio 2,,Studio/Rehearsal ,Rehearsal Studio,"5560 Mckinnon St, Vancouver, BC, V5R 0B6",Renfrew-Collingwood,Privately Owned,,,Yes
Grunt Gallery,www.grunt.ca?,Museum/Gallery,Museum/Gallery,"350 E 2nd Av, Vancouver, BC, V5T 4R8",Mount Pleasant,Non-Profit,1350,,Yes
H.R. Macmillan Space Centre,http://www.spacecentre.ca/,Museum/Gallery,Garden/Aquarium/Science Centre,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,16275,,Yes
Hadden Park Field House,http://vancouver.ca/parks-recreation-culture/hadden-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"1015 Maple St, Vancouver, BC, V6J 3R4",Kitsilano,Vancouver Park Board/COV,,,Yes
Harbour Dance Center,http://www.harbourdance.com/,Studio/Rehearsal ,Rehearsal Studio,"927 Granville St, Vancouver, BC, V6Z 1L3",Downtown,Privately Owned,9781,,Yes
Harrison Galleries,www.harrisongalleries.com,Museum/Gallery,Museum/Gallery,"901 Homer St, Vancouver, BC, V6B 2W6",Downtown,Privately Owned,4500,,Yes
Hastings Community Centre,https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,Community Space,Community Centre/Hall,"3096 E Hastings St, Vancouver, BC, V5K 2A3",Hastings-Sunrise,Vancouver Park Board/COV,,,Yes
Hastings Mill Store Museum,www.hastings-mill-museum.ca?,Museum/Gallery,Museum/Gallery,"1575 Alma St, Vancouver, BC, V6R 3P3",West Point Grey,City of Vancouver,2000,,Yes
Hatch Art Gallery,http://www.ams.ubc.ca/nest/arts-and-attractions/art-gallery/,Museum/Gallery,Museum/Gallery,"6133 University Blvd, Vancouver, BC, V6T 1Z1",UBC,Non-Profit,12500,,Yes
Havana Gallery,www.havanarestaurant.ca,Museum/Gallery,Museum/Gallery,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,,,Yes
Havana Theatre,www.havanarestaurant.ca,Theatre/Performance,Theatre,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,,60,Yes
Haywood Bandstand,,Community Space,Plaza/Park/Band Shell,"1755 Beach Av, Vancouver, BC, ",West End,Vancouver Park Board/COV,,,Yes
Heffel Gallery Ltd,www.heffel.com,Museum/Gallery,Museum/Gallery,"2247 Granville St, Vancouver, BC, V6H 3G1",Fairview,Privately Owned,7500,,Yes
Heritage Hall,www.heritagehall.bc.ca,Community Space,Community Centre/Hall,"3102 Main St, Vancouver, BC, V5T 3G7",Mount Pleasant,City of Vancouver,3300,150,Yes
Hillcrest Centre,http://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,Community Space,Community Centre/Hall,"4575 Clancy Loranger Way, Vancouver, BC, V5Y 2M4",Riley Park,Vancouver Park Board/COV,,,Yes
Hill's Native Art,www.hillsnativeart.com,Museum/Gallery,Museum/Gallery,"165 Water St, Vancouver, BC, V6B 1A7",Downtown,Privately Owned,,,Yes
Holy Rosary Cathedral,www.hrc.rcav.org,Community Space,Place of Worship,"646 Richards St, Vancouver, BC, V6B 3A3",Downtown,Other,16744,,Yes
Holy Trinity Ukrainian Orthodox Cathedral,http://uocvancouver.com/,Community Space,Place of Worship,"154 E 10th Av, Vancouver, BC, V5T 1Z4",Mount Pleasant,Other,,250,Yes
Hot Art Wet City,http://hotartwetcity.com/,Museum/Gallery,Museum/Gallery,"2206 Main St, Vancouver, BC, V5T 3C7",Mount Pleasant,Privately Owned,1036,50,Yes
Ian Tan Gallery,www.iantangallery.com?,Museum/Gallery,Museum/Gallery,"2202 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,,,Yes
Ice Box Gallery,http://www.iceboxgallery.com,Museum/Gallery,Museum/Gallery,"321 Railway St, Vancouver, BC, V6A 1A4",Strathcona,Privately Owned,,,Yes
Il Centro - Italian Cultural Centre,www.italianculturalcentre.ca?,Community Space,Community Centre/Hall,"3075 Slocan St, Vancouver, BC, V5M 3E4",Renfrew-Collingwood,Non-Profit,9400,,Yes
Improv Centre,www.vtsl.com,Theatre/Performance,Performance Space,"1502 Duranleau St, Vancouver, BC, V6H 3S4",Fairview,Government,2188,186,Yes
Interurban Gallery,,Museum/Gallery,Museum/Gallery,"1 E Hastings St, Vancouver, BC, V6A 1M9",Downtown,Privately Owned,,,Yes
Inuit Gallery of Vancouver,www.inuit.com,Museum/Gallery,Museum/Gallery,"206 Cambie St, Vancouver, BC, V6B 2M9",Downtown,Privately Owned,,,Yes
Jack Poole Plaza,http://www.vancouverconventioncentre.com/jack-poole-plaza/,Community Space,Plaza/Park/Band Shell,"Vancouver, BC",Downtown,Government,46284,,Yes
James Black Gallery,http://www.thejamesblack.gallery/,Museum/Gallery,Museum/Gallery,"144 E 6th Av, Vancouver, BC, V5T1J5",Mount Pleasant,Privately Owned,1500,15,Yes
James Tan Gallery,http://www.jamestan.com/home.htm,Museum/Gallery,Museum/Gallery,"437 Columbia St, Vancouver, BC, V6A 2R9",Downtown,Privately Owned,,,Yes
Jean Lyons School of Music,http://jeanlyonsmusic.com/,Educational,Educational Institution,"77 E 7th Av, Vancouver, BC, V5T 1M4",Mount Pleasant,Privately Owned,,,Yes
Jennifer Kostuik Gallery,www.kostuikgallery.com?,Museum/Gallery,Museum/Gallery,"1070 Homer St, Vancouver, BC, V6B 2W9",Downtown,Privately Owned,,,Yes
Jericho Arts Centre,www.jerichoartscentre.com?,Theatre/Performance,Theatre,"1675 Discovery St, Vancouver, BC, V6R 2K5",West Point Grey,Vancouver Park Board/COV,5000,135,Yes
Jericho Beach,,Community Space,Plaza/Park/Band Shell,"3941 Point Grey Rd., Vancouver, BC, V6R 1B5",West Point Grey,City of Vancouver,250799,,Yes
Jewish Community Centre,www.jewishmuseum.ca?,Community Space,Community Centre/Hall,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Non-Profit,14000,,Yes
John Hendry Park (Trout Lake),,Community Space,Plaza/Park/Band Shell,"3300 Victoria Dr, Vancouver, BC, V5N 4L9",Kensington-Cedar Cottage,Vancouver Park Board/COV,160565,,Yes
John Oliver Secondary,http://go.vsb.bc.ca/schools/johnoliver/Pages/default.aspx,Educational,Educational Institution,"530 E 41st Av, Vancouver, BC, V5W 1P3",Sunset,Government,,,Yes
Joy Kogawa House,http://www.kogawahouse.com,Studio/Rehearsal ,Artist Studio,"1450 W 64th Av, Vancouver, BC, V6P 2N4",Marpole,Non-Profit,,,Yes
Kafka's Coffee and Tea,www.kafkascoffee.ca,Cafe/Restaurant/Bar,Cafe/Restaurant,"2525 Main St, Vancouver, BC, V5T 3E5",Mount Pleasant,Privately Owned,,,Yes
Karen Flamenco Dance Society,http://karenflamenco.com,Studio/Rehearsal ,Rehearsal Studio,"60 W 7th Av, Vancouver, BC, V5Y 1L6",Mount Pleasant,Privately Owned,,,Yes
Kensington Community Centre,http://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,Community Space,Community Centre/Hall,"5175 Dumfries St, Vancouver, BC, V5P 3A2",Kensington-Cedar Cottage,Vancouver Park Board/COV,,,Yes
Kerrisdale Community Centre,http://vancouver.ca/parks-recreation-culture/kerrisdale-community-centre.aspx,Community Space,Community Centre/Hall,"5851 West Blvd, Vancouver, BC, V6M 3W9",Kerrisdale,Vancouver Park Board/COV,,,Yes
Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,Community Space,Community Centre/Hall,"6260 Killarney St, Vancouver, BC, V5S 2X7",Killarney,Vancouver Park Board/COV,,,Yes
Kitsilano Showboat,http://www.kitsilanoshowboat.com/showboat.html,Community Space,Plaza/Park/Band Shell,"2300 Cornwall Av, Vancouver, BC, V6K 1B7",Kitsilano,City of Vancouver,1000,,Yes
Kitsilano War Memorial Community Centre,http://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,Community Space,Community Centre/Hall,"2690 Larch St, Vancouver, BC, V6K 4K9",Kitsilano,Vancouver Park Board/COV,,,Yes
La Maison de la Francophonie de Vancouver,www.lamaison.bc.ca,Community Space,Community Centre/Hall,"1555 W 7th Av, Vancouver, BC, V6J 1S1",Fairview,Privately Owned,,,Yes
Labyrinth Gallery,http://labyrinthgallery.org/,Museum/Gallery,Museum/Gallery,"112 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,,,Yes
Langara College - School of Creative And Applied Arts ,,Educational,Educational Institution,"100 W 49th Av, Vancouver, BC, V5Y 2Z6",Oakridge,Government,,,Yes
Lattimer Gallery,www.lattimergallery.com?,Museum/Gallery,Museum/Gallery,"1590 W 2nd Av, Vancouver, BC, V6J 1H2",Fairview,Privately Owned,,,Yes
Left of Main,http://www.plasticorchidfactory.com/left-of-main/,Studio/Rehearsal ,Rehearsal Studio,"544 Main St, Vancouver, BC, V6A 2T9",Strathcona,Privately Owned,,,Yes
Little Mountain Gallery,www.littlemountaingallery.com,Museum/Gallery,Museum/Gallery,"195 E 26th Av, Vancouver, BC, V5V 2G8",Riley Park,Privately Owned,,,Yes
Lobby Gallery,http://www.ligi.ubc.ca/LobbyGallery.htm,Museum/Gallery,Museum/Gallery,"6476 NW Marine Dr, Vancouver, BC, ",UBC,Other,200,,Yes
Lumbermen's Arch,,Community Space,Plaza/Park/Band Shell,"Stanley Park, Vancouver, BC",Stanley Park,City of Vancouver,66120,,Yes
Maclean Field House,http://vancouver.ca/parks-recreation-culture/urban-weavers-artists-and-scientist.aspx,Studio/Rehearsal ,Artist Studio,"710 Keefer St, Vancouver, BC, V6A 1Y5",Strathcona,Vancouver Park Board/COV,500,,Yes
Magic Trout Imaginarium,http://magictroutimaginarium.tumblr.com/,Community Space,Community Centre/Hall,"3360 Victoria Dr, Vancouver, BC, V5N 4M4",Grandview-Woodland,Privately Owned,176,12,Yes
Make Gallery,http://makeisawesome.com/,Museum/Gallery,Museum/Gallery,"257 E 7th Av, Vancouver, BC, V5T 0B4",Mount Pleasant,Privately Owned,1000,,Yes
MakerLabs,www.makerlabs.ca,Studio/Rehearsal ,Workshop,"780 E Cordova St, Vancouver, BC, V6A1M3",Strathcona,Privately Owned,26000,300,Yes
Malaspina Printmakers Gallery,www.malaspinaprintmakers.com?,Museum/Gallery,Museum/Gallery,"1555 Duranleau St, Vancouver, BC, V6H 3S3",Fairview,Government,2500,,Yes
Malkin Bowl,www.malkinbowl.com,Theatre/Performance,Theatre,"610 Pipeline Rd, Vancouver, BC, V6G 3E2",Stanley Park,City of Vancouver,13105,2200,Yes
Marion Scott Gallery,www.marionscottgallery.com,Museum/Gallery,Museum/Gallery,"2423 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,,,Yes
Marpole-Oakridge Community Centre,http://www.marpoleoakridge.org/,Community Space,Community Centre/Hall,"990 W 59th Av, Vancouver, BC, V6P 1X9 ",Marpole,Vancouver Park Board/COV,,,Yes
Mascall Dance,www.mascalldance.ca?,Studio/Rehearsal ,Rehearsal Studio,"1130 Jervis St, Vancouver, BC, V6E 2C7",West End,Privately Owned,2500,,Yes
McBride Field House,http://locomotoart.weebly.com/mcbride ,Studio/Rehearsal ,Artist Studio,"3350 W 4th Av, Vancouver, BC, ",Kitsilano,Vancouver Park Board/COV,,,Yes
Media Club,www.themediaclub.ca?,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"695 Cambie St, Vancouver, BC, V6B 2P1",Downtown,City of Vancouver,,,Yes
Memorial South Park Field House,http://vancouver.ca/parks-recreation-culture/memorial-south-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"5955 Ross St, Vancouver, BC, V5W 1T7",Sunset,Vancouver Park Board/COV,,,Yes
Mergatroid Building,http://www.mergatroid.ca/,Studio/Rehearsal ,Artist Studio,"975 Vernon Drive, Vancouver, BC, V6A 3P2",Strathcona,Privately Owned,33500,,Yes
Metro Theatre,www.metrotheatre.org?,Theatre/Performance,Theatre,"1370 Sw Marine Dr, Vancouver, BC, V6P 5Z9",Marpole,Privately Owned,,308,Yes
Metro Theatre Workshop and Rehearsal Hall,,Studio/Rehearsal ,Rehearsal Studio,"8960 Oak St, Vancouver, BC, V6P 4B7",Marpole,Privately Owned,,,Yes
Michelle Sirois-Silver Textile Art Studio,michellesirois-silver.com,Studio/Rehearsal ,Artist Studio,"1610 Clark Dr, Vancouver, BC, ",Grandview-Woodland,Privately Owned,200,,Yes
Moberly Arts and Culture Centre,www.mysunset.net,Community Space,Community Centre/Hall,"7646 Prince Albert St, Vancouver, BC, V5X 3Z4",Sunset,Vancouver Park Board/COV,2264,,Yes
Moberly Park Field House,http://vancouver.ca/parks-recreation-culture/moberly-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"7646 Prince Albert, Vancouver, BC, V5X 3Z4",Sunset,Vancouver Park Board/COV,,,Yes
Monte Clark Gallery,www.monteclarkgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,4000,,Yes
Morris and Helen Belkin Art Gallery,http://www.belkin.ubc.ca/,Museum/Gallery,Museum/Gallery,"1825 Main Mall, Vancouver, BC, V6T 1Z2",UBC,Other,,,Yes
Mount Pleasant Community Centre,http://www.mountpleasantcc.ca/,Community Space,Community Centre/Hall,"1 Kingsway, Vancouver, BC, V5T 3H7",Mount Pleasant,Vancouver Park Board/COV,,,Yes
Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,60000,,Yes
Musqueam Cultural Education Resource Centre,http://www.musqueam.bc.ca/,Community Space,Community Centre/Hall,"4000 Musqueam Av, Vancouver, BC, V6N 4C6",Dunbar-Southlands,Other,1300,,Yes
New Leaf Editions,www.newleafeditions.com?,Studio/Rehearsal ,Workshop,"1370 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Privately Owned,,,Yes
Norman Rothstein Theatre,www.normanrothsteintheatre.com?,Theatre/Performance,Theatre,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Privately Owned,5300,318,Yes
O'Brian Centre for Vancouver Opera,www.vancouveropera.ca,Studio/Rehearsal ,Rehearsal Studio,"1945 Mclean Dr, Vancouver, BC, V5N 3J7",Grandview-Woodland,Privately Owned,3540,,Yes
Octopus Studios,,Studio/Rehearsal ,Artist Studio,"393 Powell St, Vancouver, BC, V6A 1G5",Strathcona,Privately Owned,3000,,Yes
Oko Dance Vancouver,http://www.okodancevancouver.com/,Educational,Educational Institution,"45 W Hastings St, Vancouver, BC, V6B 1G4",Downtown,Privately Owned,3000,,Yes
Old Auditorium,http://www.music.ubc.ca/about-us/facilities/old-auditorium.html,Theatre/Performance,Theatre,"6344 Memorial Rd, Vancouver, BC, V6T 1Z2",UBC,Government,,530,Yes
Old Foundry Building,www.studiostone.ca,Studio/Rehearsal ,Artist Studio,"1760 Vernon Drive, Vancouver, BC, V6A 3T8",Grandview-Woodland,Privately Owned,,,Yes
On Main Gallery,www.onmaingallery.com?,Museum/Gallery,Museum/Gallery,"200 E 20th Av, Vancouver, BC, V5V 1M1",Riley Park,Privately Owned,,,Yes
Oppenheimer Park,,Community Space,Plaza/Park/Band Shell,"Vancouver, BC",Strathcona,Vancouver Park Board/COV,,,Yes
Opus Art Supplies,http://opusartsupplies.com,Other,Retail,"207 W Hastings St, Vancouver, BC, V6B 1H7",Downtown,Privately Owned,,,Yes
Opus Art Supplies,http://opusartsupplies.com,Other,Retail,"1360 Johnston St, Vancouver, BC, V6H 3S1",Fairview,Privately Owned,,,Yes
Or Gallery,www.orgallery.org?,Museum/Gallery,Museum/Gallery,"555 Hamilton St, Vancouver, BC, V6B 2R1",Downtown,Privately Owned,2043,,Yes
Orpheum Annex,http://vancouver.caparks-recreation-culture/rent-the-orpheum-annex.aspx,Theatre/Performance,Performance Space,"823 Seymour St, Vancouver, BC, V6B 5G1",Downtown,City of Vancouver,3500,193,Yes
Orpheum Theatre ,https://vancouver.caparks-recreation-culture/the-orpheum.aspx,Theatre/Performance,Theatre,"601 Smithe St, Vancouver, BC, V6B 5G1",Downtown,City of Vancouver,,2688,Yes
Ouisi Bistro,http://www.ouisibistro.com/#events,Cafe/Restaurant/Bar,Cafe/Restaurant,"3014 Granville St, Vancouver, BC, V6H 3J8",Fairview,Privately Owned,,,Yes
Our Town Cafe,,Cafe/Restaurant/Bar,Cafe/Restaurant,"245 E Broadway, Vancouver, BC, V5T 1W4",Mount Pleasant,Privately Owned,,,Yes
Pacific Cinematheque ,http://www.thecinematheque.caabout,Theatre/Performance,Cinema,"1131 Howe St, Vancouver, BC, V6Z 2L7",Downtown,City of Vancouver,4698,194,Yes
Pacific Theatre,www.pacifictheatre.org?,Theatre/Performance,Theatre,"1440 W 12th Av, Vancouver, BC, V6H 1M8",Fairview,Privately Owned,1673,128,Yes
PAL Studio Theatre,http://www.palstudiotheatre.com/,Theatre/Performance,Theatre,"581 Cardero St, Vancouver, BC, V6G 3L2",Downtown,Non-Profit,1600,150,Yes
Pandora Park  Fieldhouse,http://cfapp.vancouver.ca/parkfinder_wa/index.cfm?fuseaction=FAC.ParkDetails&park_id=57,Studio/Rehearsal ,Artist Studio,"2325 Franklin St, Vancouver, BC, V5L 1S1",Grandview-Woodland,Vancouver Park Board/COV,,,Yes
Pandora's Box Rehearsal Studios,http://www.pandorasboxstudios.com/,Studio/Rehearsal ,Film/Recording Studio,"1890 Pandora St, Vancouver, BC, V5L 1M5",Grandview-Woodland,Privately Owned,8300,,Yes
Paneficio Studios,,Studio/Rehearsal ,Artist Studio,"800 Keefer St, Vancouver, BC, V6A 1Y7",Strathcona,Privately Owned,,,Yes
Parker Street Studios,,Studio/Rehearsal ,Artist Studio,"1000 Parker St, Vancouver, BC, V6A 2H2",Strathcona,Privately Owned,,,Yes
Patricia Hotel - Pat's Pub,http://www.patspub.ca/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"403 E Hastings St, Vancouver, BC, V6A 1P6",Strathcona,Privately Owned,,,Yes
Pendulum Gallery,www.pendulumgallery.bc.ca?,Museum/Gallery,Museum/Gallery,"885 W Georgia St, Vancouver, BC, V6C 3E8",Downtown,Privately Owned,2200,,Yes
Peretz Centre for Secular Jewish Culture,http://www.peretz-centre.org/index.html,Community Space,Community Centre/Hall,"6184 Ash St, Vancouver, BC, V5Z 3G9",Oakridge,Non-Profit,8000,,Yes
Performance Works,www.performanceworks.ca,Theatre/Performance,Performance Space,"1218 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,,350,Yes
Performing Arts Lodge (PAL),http://www.palvancouver.org/?q=pal-theatre,Studio/Rehearsal ,Artist Housing,"581 Cardero St, Vancouver, BC, V6G 3L2",Downtown,Non-Profit,,,Yes
Peter Kiss Gallery,www.peterkiss.com,Museum/Gallery,Museum/Gallery,"1327 Railspur Alley, Vancouver, BC, V6H 4G9",Fairview,Privately Owned,,,Yes
Petley Jones Gallery,www.petleyjones.com?,Museum/Gallery,Museum/Gallery,"554 W 6th Av, Vancouver, BC, V6J 1R2",Mount Pleasant,Privately Owned,1500,,Yes
Playwrights Theatre Centre,www.playwrightstheatre.com?,Studio/Rehearsal ,Rehearsal Studio,"739 Gore Av, Vancouver, BC, V6A 2Z9",Strathcona,Privately Owned,800,,Yes
Plaza of Nations,www.plazaofnations.com?,Community Space,Plaza/Park/Band Shell,"750 Pacific Blvd, Vancouver, BC, V6B 5E7",Downtown,Privately Owned,140000,,Yes
PNE Amphitheatre,http://www.49st.com/venue/pne-amphitheatre#info,Community Space,Plaza/Park/Band Shell,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,,4500,Yes
PNE Forum,www.pne.ca,Community Space,Arena/Stadium,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,44579,1250,Yes
PNE Garden Auditorium,www.circuswest.com,Educational,Educational Institution,"2901 E Hastings St, Vancouver, BC, V5K 5J1",Hastings-Sunrise,City of Vancouver,9000,600,Yes
