CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE
PNE Pacific Coliseum,www.pne.ca,Community Space,Arena/Stadium,"100 Renfrew St, Vancouver, BC, V5K 3N7",Hastings-Sunrise,City of Vancouver,56825,15713,Yes
Polish Community Centre,http://polishcommunitycentre.com/,Community Space,Community Centre/Hall,"4015 Fraser St, Vancouver, BC, V5V 4E6",Riley Park,Privately Owned,,,Yes
Portside Studios,,Studio/Rehearsal ,Artist Studio,"150 McLean Dr, Vancouver, BC, V5L 3L1",Grandview-Woodland,Privately Owned,5000,,Yes
Praxis Centre for Screenwriting,http://www.praxisfilm.com/en/default.aspx,Studio/Rehearsal ,Film/Recording Studio,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,,Yes
Princeton Pub,www.princetonpub.com?,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"1901 Powell St, Vancouver, BC, V5L 1J2",Grandview-Woodland,Privately Owned,,,Yes
Progress Lab 1422,www.pl1422.blogspot.com?,Studio/Rehearsal ,Rehearsal Studio,"1422 William, Vancouver, BC, V5L 2P7",Grandview-Woodland,Privately Owned,1552,100,Yes
Prop House Cafe,http://prophousecafe.com/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"1636 Venables St, Vancouver, BC, V5L 2H2",Grandview-Woodland,Privately Owned,,40,Yes
Prophouse Cafe,www.PropHouseCafe.com,Cafe/Restaurant/Bar,Cafe/Restaurant,"1636 Venables St, Vancouver, BC, V5L 2H2",Grandview-Woodland,Privately Owned,2000,,Yes
Purple Thistle,www.purplethistle.ca?,Studio/Rehearsal ,Artist Studio,"975 Vernon Drive, Vancouver, BC, V6A 3P2",Strathcona,Privately Owned,,,Yes
Queen Elizabeth Park - Artist Residence,http://vancouver.ca/parks-recreation-culture/queen-elizabeth-park.aspx,Studio/Rehearsal ,Artist Studio,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Vancouver Park Board/COV,,,Yes
Queen Elizabeth Theatre,http://vancouver.caparks-recreation-culture/queen-elizabeth-theatre.aspx,Theatre/Performance,Theatre,"650 Hamilton St, Vancouver, BC, V6B 5N6",Downtown,City of Vancouver,40000,2765,Yes
Queen Elizabeth Theatre Plaza,,Community Space,Plaza/Park/Band Shell,"650 Hamilton St, Vancouver, BC, V6B 5N6",Downtown,City of Vancouver,23690,,Yes
Railway Club,www.therailwayclub.com,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"579 Dunsmuir St, Vancouver, BC, V6B 1Y4",Downtown,Privately Owned,4500,165,Yes
Rath Art Supplies,https://www.facebook.com/rathartsupplies/,Other,Retail,"2412 Main St, Vancouver, BC, V5T 3E2",Mount Pleasant,Privately Owned,,,Yes
Raw Canvas,http://www.rawcanvas.com/,Cafe/Restaurant/Bar,Cafe/Restaurant,"1046 Hamilton St, Vancouver, BC, V6B 2R9",Downtown,Privately Owned,,,Yes
Ray-Cam Co-Operative Center,http://vancouver.ca/parks-recreation-culture/ray-cam-co-operative-centre.aspx,Community Space,Community Centre/Hall,"920 E Hastings St, Vancouver, BC, V6A 3T1",Strathcona,Vancouver Park Board/COV,,,Yes
Red Gate Arts,,Studio/Rehearsal ,Artist Studio,"855 E Hastings St, Vancouver, BC, V6A 1R8",Strathcona,Privately Owned,7500,,Yes
Remington Gallery and Studio,https://www.facebook.com/Remington.Gallery.and.Studio,Museum/Gallery,Museum/Gallery,"108 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,,,Yes
Renegade Studios Main Street,www.renegadeproductions.net,Studio/Rehearsal ,Rehearsal Studio,"125 E 2nd Av, Vancouver, BC, V5T 1B4",Mount Pleasant,Privately Owned,25000,,Yes
Renfrew Park Community Centre,http://www.renfrewcc.com/,Community Space,Community Centre/Hall,"2929 E 22nd Av, Vancouver, BC, V5M 2Y3  ",Renfrew-Collingwood,Vancouver Park Board/COV,,,Yes
Rennie Collection at Wing Sang,,Museum/Gallery,Museum/Gallery,"51 E Pender St, Vancouver, BC, V6A 1S9",Downtown,Privately Owned,20000,,Yes
Rickshaw Theatre,www.liveatrickshaw.com,Theatre/Performance,Theatre,"254 E Hastings St, Vancouver, BC, V6A 1P1",Strathcona,Privately Owned,10000,,Yes
Rio Theatre,www.riotheatre.ca?,Theatre/Performance,Cinema,"1660 E Broadway, Vancouver, BC, V5N 1W1",Kensington-Cedar Cottage,Privately Owned,,420,Yes
Roedde House,www.roeddehouse.org,Museum/Gallery,Museum/Gallery,"1415 Barclay St, Vancouver, BC, V6G 1J6",West End,City of Vancouver,3000,35,Yes
Rogers Arena,http://rogersarena.com/,Community Space,Arena/Stadium,"800 Griffiths Way, Vancouver, BC, V6B 6G1",Downtown,Privately Owned,17000,20000,Yes
Roundhouse Community Centre,www.roundhouse.ca?,Community Space,Community Centre/Hall,"181 Roundhouse Mews, Vancouver, BC, V6Z 2W3",Downtown,City of Vancouver,20000,,Yes
Roy Barnett Recital Hall,http://www.music.ubc.ca/about-us/facilities/roy-barnett-recital-hall.html,Theatre/Performance,Performance Space,"6361 Memorial Rd, Vancouver, BC, V6T 1Z2",UBC,Other,,255,Yes
Russian Community Centre Of Vancouver,www.russiancentrevancouver.org,Community Space,Community Centre/Hall,"2114 W 4th Av, Vancouver, BC, V6K 1N6",Kitsilano,Privately Owned,,,Yes
Russian Hall,,Community Space,Community Centre/Hall,"600 Campbell Av, Vancouver, BC, V6A 3K1",Strathcona,Non-Profit,6300,,Yes
Ryerson United Church,www.ryersonunited.ca,Community Space,Place of Worship,"2195 W 45th Av, Vancouver, BC, V6M  2J2",Kerrisdale,Other,,450,Yes
Sarah McLachlan School of Music,www.sarahschoolofmusic.com?,Educational,Educational Institution,"138 E 7th Av, Vancouver, BC, V5T 1M6",Mount Pleasant,Privately Owned,16000,,Yes
Satellite Gallery,www.satellitegallery.ca,Museum/Gallery,Museum/Gallery,"560 Seymour St, Vancouver, BC, V6B 3J5",Downtown,Privately Owned,3500,,Yes
Science World At Telus World Of Science,www.scienceworld.ca?,Museum/Gallery,Garden/Aquarium/Science Centre,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,Government,170000,600,Yes
Scotiabank Dance Centre - Earl Kraul & Grant Strate Studio,www.thedancecentre.ca?,Studio/Rehearsal ,Rehearsal Studio,"677 Davie St, Vancouver, BC, V6B 2G6",Downtown,Non-Profit,28166,,Yes
Scotiabank Dance Centre - Faris Family Studio,,Theatre/Performance,Theatre,"677 Davie St, Vancouver, BC, V6B 2G6",Downtown,Non-Profit,2944,154,Yes
Scotiabank Dance Centre - Judith R Marcuse Studio,,Studio/Rehearsal ,Rehearsal Studio,"677 Davie St, Vancouver, BC, V6B 2G6",Downtown,Non-Profit,800,50,Yes
Scottish Cultural Centre,www.scottishculturalcentre.com?,Community Space,Community Centre/Hall,"8886 Hudson St, Vancouver, BC, V6P 4N2",Marpole,Non-Profit,8431,,Yes
Second Beach Field House,http://vancouver.ca/parks-recreation-culture/second-beach.aspx,Studio/Rehearsal ,Artist Studio," Stanley Park Dr, Vancouver, BC, V6G 3E2",Stanley Park,Vancouver Park Board/COV,,,Yes
Secret Lantern Society,,Studio/Rehearsal ,Workshop,"328 -B Industrial Av, Vancouver, BC, ",Strathcona,Privately Owned,1500,,Yes
Semi-Public (221A),http://221a.ca/,Community Space,Plaza/Park/Band Shell,"271 Union St, Vancouver, BC, V6A 2B2",Strathcona,Privately Owned,3000,,Yes
Silk Weaving Studio,http://www.silkweavingstudio.com/,Studio/Rehearsal ,Artist Studio,"1531 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Privately Owned,,,Yes
Slocan Park Field House,http://vancouver.ca/parks-recreation-culture/slocan-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"2750 E 29th Av, Vancouver, BC, V5R 1V6",Renfrew-Collingwood,Vancouver Park Board/COV,2077,,Yes
Soundhouse Studios,http://www.soundhousestudios.com/,Studio/Rehearsal ,Film/Recording Studio,"33 W 8th Av, Vancouver, BC, V5Y 1M8",Mount Pleasant,Privately Owned,7000,,Yes
Spirit Wrestler Gallery,www.spiritwrestler.com,Museum/Gallery,Museum/Gallery,"47 Water St, Vancouver, BC, V6B 1A1",Downtown,Privately Owned,,,Yes
St Andrews-Wesley United Church,www.standrewswesleychurch.bc.ca?,Community Space,Place of Worship,"1012 Nelson St, Vancouver, BC, V6E 1H8",West End,Other,,1200,Yes
St James Community Square ,www.sjcommunitysquare.org,Theatre/Performance,Performance Space,"3214 W 10th Av, Vancouver, BC, V6K 2L2",Kitsilano,Privately Owned,4000,,Yes
St. James Anglican Church,www.stjames.bc.ca,Community Space,Place of Worship,"303 E Cordova St, Vancouver, BC, V6A 1L4",Strathcona,Other,,,Yes
Stanley Park Nature House,http://stanleyparkecology.ca/education/nature-house/,Museum/Gallery,Museum/Gallery,"Stanley Park, Vancouver, BC",Stanley Park,Vancouver Park Board/COV,500,,Yes
Strathcona Community Centre,https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx,Community Space,Community Centre/Hall,"601 Keefer St, Vancouver, BC, V6A 3V8",Strathcona,Vancouver Park Board/COV,,,Yes
Strathcona Park Field House,http://vancouver.ca/parks-recreation-culture/strathcona-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"857 Malkin Av, Vancouver, BC, V6A 2K5",Strathcona,Vancouver Park Board/COV,350,,Yes
Studio 1398,www.giculturalsociety.org/studio1398/,Studio/Rehearsal ,Rehearsal Studio,"1398 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,1748,96,Yes
Sunset Community Centre,http://www.mysunset.net/,Community Space,Community Centre/Hall,"6810 Main St, Vancouver, BC, V5X 0A1 ",Sunset,Vancouver Park Board/COV,,,Yes
Taiwanese Canadian Cultural Society,www.tccs.ca,Community Space,Community Centre/Hall,"8853 Selkirk St, Vancouver, BC, V6P 4J6",Marpole,Privately Owned,,,Yes
Tangent Cafe,http://tangentcafe.ca/,Cafe/Restaurant/Bar,Cafe/Restaurant,"2095 Commercial Dr, Vancouver, BC, V5N 4A9",Grandview-Woodland,Privately Owned,,,Yes
Teck Gallery,https://www.sfu.ca/galleries/teck-gallery.html,Museum/Gallery,Museum/Gallery,"515 W Hastings St, Vancouver, BC, V6B 0B2",Downtown,Privately Owned,625,,Yes
The Anderson Street Space,www.bocadellupo.com/?,Studio/Rehearsal ,Rehearsal Studio,"1405 Anderson St, Vancouver, BC, V6H 3R5",Fairview,Privately Owned,400,30,Yes
The ARC,,Studio/Rehearsal ,Artist Studio,"1701 Powell St, Vancouver, BC, V5L 5C9",Grandview-Woodland,Privately Owned,,,Yes
The Art Studios,http://vrtas.ca/about/the-art-studios/,Studio/Rehearsal ,Artist Studio,"2005 E 44th Av, Vancouver, BC, V5P 1N1",Victoria-Fraserview,Privately Owned,,,Yes
The Beaumont Studios,http://www.thebeaumontstudios.com/,Studio/Rehearsal ,Artist Studio,"316 W 5th Av, Vancouver, BC, V5Y 1J5",Mount Pleasant,Privately Owned,,,Yes
The Cobalt,http://www.thecobalt.ca/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"917 Main St, Vancouver, BC,  V6A 2V8",Downtown,Privately Owned,,,Yes
The Edge,,Studio/Rehearsal ,Artist Studio with Residence,"289 Alexander St, Vancouver, BC, V6A 4H6",Strathcona,Privately Owned,690,,Yes
The Emerald,http://emeraldsupperclub.com/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"555 Gore Av, Vancouver, BC, V6A 2Z6",Strathcona,Privately Owned,,70,Yes
The Hindenburg,http://hindenburg.ca/,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"23 W Cordova St, Vancouver, BC, V6B 1C8",Downtown,Privately Owned,10000,300,Yes
The Ironworks Studio,www.theironworks.ca,Theatre/Performance,Performance Space,"235 Alexander St, Vancouver, BC, V6A 1C2",Strathcona,Privately Owned,4700,180,Yes
The Landing Dance Centre,www.thelandingdance.com,Educational,Educational Institution,"270 SW Marine Dr, Vancouver, BC, V5X 2R5",Marpole,Privately Owned,5470,,Yes
The Permanent,http://thepermanent.ca,Community Space,Community Centre/Hall,"330 W Pender St, Vancouver, BC, V6B 1T3",Downtown,Privately Owned,7000,279,Yes
The Post at 750,http://thepostat750.ca/,Studio/Rehearsal ,Rehearsal Studio,"750 Hamilton St, Vancouver, BC, V6B 2R5",Downtown,City of Vancouver,8500,,Yes
The Rhythm Room,www.s2sproductions.com,Studio/Rehearsal ,Rehearsal Studio,"8713 Cambie St, Vancouver, BC, ",Marpole,Privately Owned,1500,,Yes
Theatre la Seizieme/Studio 16,www.seizieme.ca?,Studio/Rehearsal ,Rehearsal Studio,"1555 W 7th Av, Vancouver, BC, V6J 1S1",Fairview,Privately Owned,,120,Yes
Thunderbird Community Centre,http://vancouver.ca/parks-recreation-culture/thunderbird-community-centre.aspx,Community Space,Community Centre/Hall,"2311 Cassiar St, Vancouver, BC, V5M 3X3",Hastings-Sunrise,Vancouver Park Board/COV,,,Yes
Tom Lee Music Recital Hall,www.tomleemusic.ca,Theatre/Performance,Performance Space,"929 Granville St, Vancouver, BC, V6Z 1L3",Downtown,Privately Owned,,,Yes
Tracey Lawrence Gallery,,Museum/Gallery,Museum/Gallery,"1531 W 4th Av, Vancouver, BC, V6J 1L6",Fairview,Privately Owned,,,Yes
Trees Organic Coffee House,http://www.treescoffee.com/,Cafe/Restaurant/Bar,Cafe/Restaurant,"450 Granville St, Vancouver, BC, V6C 1V4",Downtown,Privately Owned,,,Yes
Trench Gallery,www.trenchgallery.com,Museum/Gallery,Museum/Gallery,"148 Alexander St, Vancouver, BC, V6A 1B5",Downtown,Privately Owned,1000,,Yes
Trillium North Park,https://trilliumnorthpark.com/,Museum/Gallery,Garden/Aquarium/Science Centre,"699 National Av, Vancouver, BC, ",Strathcona,Vancouver Park Board/COV,,,Yes
Trout Lake Community Centre,https://vancouver.ca/parks-recreation-culture/trout-lake-community-centre.aspx,Community Space,Community Centre/Hall,"3360 Victoria Dr, Vancouver, BC, V5N 4M4",Kensington-Cedar Cottage,Vancouver Park Board/COV,,,Yes
UBC Museum of Anthropology,http://moa.ubc.ca/,Museum/Gallery,Museum/Gallery,"6393 NW Marine Dr, Vancouver, BC, V6T 1Z2",UBC,Other,38889,,Yes
UBC School of Music,www.music.ubc.ca,Educational,Educational Institution,"6361 Memorial Rd, Vancouver, BC, V6T 1Z2",UBC,Other,,,Yes
UBC Thunderbird Arena,http://thunderbirdarena.ubc.ca/,Community Space,Arena/Stadium,"2555 Wesbrook Mall, Vancouver, BC, V6T 1Z3",UBC,Government,17000,5033,Yes
Ukrainian Hall,http://www.auucvancouver.ca/,Community Space,Community Centre/Hall,"805 E Pender St, Vancouver, BC, V6A 1V9",Strathcona,Non-Profit,3000,200,Yes
Unit/Pitt Projects ,www.helenpittgallery.org,Museum/Gallery,Museum/Gallery,"236 E Pender St, Vancouver, BC, V6A 1T7",Strathcona,Privately Owned,759,,Yes
Uno Langmann Limited Fine Arts,www.langmann.com,Museum/Gallery,Museum/Gallery,"2117 Granville St, Vancouver, BC, V6H 3E9",Fairview,Privately Owned,,,Yes
Urban Native Youth Association,http://www.unya.bc.ca/,Community Space,Community Centre/Hall,"1618 E Hastings St, Vancouver, BC, V5L 1S6",Grandview-Woodland,Non-Profit,11000,,Yes
Uzume Taiko Drum Group Society,www.uzume.com?,Studio/Rehearsal ,Rehearsal Studio,"1254 Frances St, Vancouver, BC, V6A 1Z5",Strathcona,Privately Owned,,,Yes
Van Dusen Botanical Garden,http://vandusengarden.org/,Museum/Gallery,Garden/Aquarium/Science Centre,"5251 Oak St, Vancouver, BC, V6M 4H1",Shaughnessy,City of Vancouver,2368060,,Yes
Vancity Theatre,http://www.viff.org/theatre/facility-info,Theatre/Performance,Cinema,"1181 Seymour St, Vancouver, BC, V6B 3M7",Downtown,Privately Owned,650,170,Yes
Vancouver Aboriginal Friendship Centre,http://www.vafcs.org/,Community Space,Community Centre/Hall,"1607 E Hastings St, Vancouver, BC, V5L 1S9",Grandview-Woodland,Other,,,Yes
Vancouver Academy of Music,http://vancouveracademyofmusic.com,Educational,Educational Institution,"1270 Chestnut St, Vancouver, BC, V6J 4R9",Kitsilano,City of Vancouver,40000,,Yes
Vancouver Access Artist Run Centre,www.accessgallery.ca,Museum/Gallery,Museum/Gallery,"222 E Georgia St, Vancouver, BC, V6A 1Z7",Strathcona,Privately Owned,1020,,Yes
Vancouver Adapted Music,www.vams.org/,Studio/Rehearsal ,Film/Recording Studio,"4225 Laurel St, Vancouver, BC, V5Z 2G9",South Cambie,Privately Owned,,,Yes
Vancouver Alpen Club,http://www.vancouveralpenclub.ca/,Community Space,Community Centre/Hall,"4875 Victoria Dr, Vancouver, BC, V5N 4P3",Kensington-Cedar Cottage,Privately Owned,8000,,Yes
Vancouver Aquarium,www.vanaqua.org?,Museum/Gallery,Garden/Aquarium/Science Centre,"845 Avison Way, Vancouver, BC, V6G 3E2",Stanley Park,City of Vancouver,97000,,Yes
Vancouver Art Gallery,www.vanartgallery.bc.ca,Museum/Gallery,Museum/Gallery,"750 Hornby St, Vancouver, BC, V6Z 2H7",Downtown,Government,165000,,Yes
Vancouver Art Gallery North Plaza,,Community Space,Plaza/Park/Band Shell,"Vancouver, BC",Downtown,City of Vancouver,,,Yes
Vancouver Art Gallery Offsite,http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html    ,Museum/Gallery,Museum/Gallery,"1100 W Georgia St, Vancouver, BC, V6E 0A8",West End,City of Vancouver,34033,,Yes
Vancouver Art Therapy Institute (VATI),http://www.vati.bc.ca/,Educational,Educational Institution,"1575 Johnston St, Vancouver, BC, V6H 3R9",Fairview,,,,Yes
Vancouver Burlesque Centre,http://www.vancouverburlesquecentre.ca/,Studio/Rehearsal ,Rehearsal Studio,"124 W 6th Av, Vancouver, BC, V5Y 1K6",Mount Pleasant,Privately Owned,,,Yes
Vancouver Community Laboratory,http://vancommunitylab.com/,Studio/Rehearsal ,Workshop,"1907 Triumph St, Vancouver, BC, V5L 1K6",Grandview-Woodland,,5000,,Yes
Vancouver Co-Operative Radio,www.coopradio.org?,Studio/Rehearsal ,Film/Recording Studio,"360 Columbia St, Vancouver, BC, V6A 4J1",Downtown,Non-Profit,,,Yes
Vancouver East Cultural Centre - Historic Theatre,www.thecultch.com?,Theatre/Performance,Theatre,"1895 Venables St, Vancouver, BC, V5L 2H6",Grandview-Woodland,City of Vancouver,25000,195,Yes
Vancouver East Cultural Centre - Vancity Culture Lab,www.thecultch.com?,Theatre/Performance,Theatre,"1895 Venables St, Vancouver, BC, V5L 2H6",Grandview-Woodland,City of Vancouver,2500,86,Yes
Vancouver Holocaust Education Centre,www.vhec.org?,Museum/Gallery,Museum/Gallery,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Privately Owned,,,Yes
Vancouver Japanese Language School and Japanese Hall,http://www.vjls-jh.com,Community Space,Community Centre/Hall,"475 Alexander St, Vancouver, BC, V6A 1C6",Strathcona,Non-Profit,36000,,Yes
Vancouver Maritime Museum,www.vancouvermaritimemuseum.com,Museum/Gallery,Museum/Gallery,"1905 Ogden Av, Vancouver, BC, V6J 1A3",Kitsilano,City of Vancouver,26215,,Yes
Vancouver Photo Workshop,http://www.vancouverphotoworkshops.com/,Educational,Educational Institution,"14 W 7th Av, Vancouver, BC, V5Y 1L6",Mount Pleasant,Privately Owned,,,Yes
Vancouver Playhouse Theatre,http://vancouver.caparks-recreation-culture/vancouver-playhouse.aspx,Theatre/Performance,Theatre,"600 Hamilton St, Vancouver, BC, V6B 6A1",Downtown,City of Vancouver,2600,668,Yes
Vancouver Police Museum,www.vancouverpolicemuseum.ca?,Museum/Gallery,Museum/Gallery,"240 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,15392,,Yes
Vancouver Public Library,www.vpl.ca,Museum/Gallery,Library/Archives,"350 W Georgia St, Vancouver, BC, V6B 6B1",Downtown,City of Vancouver,12000,,Yes
Vancouver Symphony Orchestra School of Music,www.vsoschoolofmusic.ca?,Educational,Educational Institution,"843 Seymour St, Vancouver, BC, V6B 3L4",Downtown,City of Vancouver,25000,,Yes
Vancouver Symphony Orchestra School of Music - Recital Hall (Pyatt Hall),www.vsoschoolofmusic.ca?,Theatre/Performance,Performance Space,"843 Seymour St, Vancouver, BC, V6B 3L4",Downtown,City of Vancouver,,120,Yes
Vancouver Tap Dance Society,www.vantapdance.com?,Educational,Educational Institution,"2775 E Hastings St, Vancouver, BC, V5K 1Z8",Hastings-Sunrise,Non-Profit,1164,,Yes
Vanier Park,,Community Space,Plaza/Park/Band Shell,"1000 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,228194,,Yes
Venue,www.venuelive.ca?,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"881 Granville St, Vancouver, BC, V6Z 1K7",Downtown,Privately Owned,10000,,Yes
Visual Arts Studio - SFU School for the Contemporary Arts,http://www.sfu.ca/sca/index.php/programs/visual-arts,Educational,Educational Institution,"611 Alexander St, Vancouver, BC, V6A 1E1",Strathcona,Privately Owned,,,Yes
VIVO Media Arts Centre,www.vivomediaarts.com,Studio/Rehearsal ,Film/Recording Studio,"2625 Kaslo St, Vancouver, BC, V5M 3G9",Renfrew-Collingwood,City of Vancouver,7000,150,Yes
Vogue Theatre,www.voguetheatre.com,Theatre/Performance,Theatre,"918 Granville St, Vancouver, BC, V6Z 1L2",Downtown,Privately Owned,8986,1136,Yes
Wall Centre Plaza,,Community Space,Plaza/Park/Band Shell,"1088 Burrard St, Vancouver, BC, V6Z 2R9",Downtown,Privately Owned,,,Yes
Waterfront Theatre,www.waterfronttheatre.ca?,Theatre/Performance,Theatre,"1412 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,,224,Yes
West 6th Artists Studios,,Studio/Rehearsal ,Artist Studio,"1571 W 6th Av, Vancouver, BC, V6J 1R1",Fairview,City of Vancouver,400,,Yes
West 6th Artists Studios,,Studio/Rehearsal ,Artist Studio,"1573 W 6th Av, Vancouver, BC, V6J 1R1",Fairview,City of Vancouver,400,,Yes
West End Community Centre,https://vancouver.ca/parks-recreation-culture/west-end-community-centre.aspx,Community Space,Community Centre/Hall,"870 Denman St, Vancouver, BC, V6G 2L8",West End,Vancouver Park Board/COV,50000,,Yes
Western Front - Artist Studio,,Studio/Rehearsal ,Artist Studio,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,,,Yes
Western Front - Gallery,www.front.bc.ca?,Museum/Gallery,Museum/Gallery,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,3110,,Yes
Western Front - Luxe Hall,,Theatre/Performance,Performance Space,"303 E 8th Av, Vancouver, BC, V5T 1S1",Mount Pleasant,Privately Owned,1250,126,Yes
Wil Aballe Art Projects,http://www.waapart.com/,Museum/Gallery,Museum/Gallery,"1356 Frances St, Vancouver, BC, V5L 1Y9",Grandview-Woodland,Privately Owned,,,Yes
William Clark Studios,,Studio/Rehearsal ,Artist Studio,"1310 William St, Vancouver, BC, V5L 2P5",Grandview-Woodland,Privately Owned,,,Yes
Winsor Gallery,www.winsorgallery.com,Museum/Gallery,Museum/Gallery,"258 E 1st Ave, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,6000,,Yes
Wise Club Hall,www.wisehall.ca,Theatre/Performance,Performance Space,"1882 Adanac St, Vancouver, BC, V5L 2E2",Grandview-Woodland,Non-Profit,2600,225,Yes
Woodward's Atrium,,Theatre/Performance,Performance Space,"111 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,,,,Yes
Writers' Exchange,,Studio/Rehearsal ,Workshop,"881 E Hastings St, Vancouver, BC, V6A 1R8",Strathcona,Privately Owned,,,Yes
York Theatre,https://thecultch.com/locations/york-theatre/,Theatre/Performance,Theatre,"639 Commercial Dr, Vancouver, BC, V5L 2W2",Grandview-Woodland,City of Vancouver,15000,370,Yes
Yuk Yuk's Comedy Club,http://www.yukyuks.com,Theatre/Performance,Performance Space,"2837 Cambie St, Vancouver, BC, V5Z 3Y8",Fairview,Privately Owned,,150,Yes
