TICKETID,HUNDRED_BLOCK,STREET,DATE,BYLAW,SECTION,STATUS,DESCRIPTION,PAYMENT
101010,10,Robson St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N
101011,10,Cordova St. W.,2016-01-02,2849,21.1,V,PASSENGER ZONE,N
101012,2,10th Ave E.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N
101013,7,Richards St.,2016-01-02,2849,17.1,I,NO STOPPING,N
101014,2,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),V,FLASHING 4 ZEROS,N
101015,1,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N
101016,16,1st Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N
101017,25,Blenheim St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N
101018,44,10th Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N
101019,43,10th Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N